it: 1, min: 15.147186279296875, max: 100.0, mean: 72.44625091552734, var: 339.119873046875, global_min: 15.147186279296875
it: 2, min: 62.06059646606445, max: 200.0, mean: 153.1249542236328, var: 556.8563842773438, global_min: 15.147186279296875
it: 3, min: -78.55844116210938, max: 200.0, mean: 146.0996856689453, var: 523.5030517578125, global_min: -78.55844116210938
it: 4, min: 71.93266296386719, max: 200.0, mean: 148.5848846435547, var: 542.2880249023438, global_min: -78.55844116210938
it: 5, min: 115.14718627929688, max: 200.0, mean: 144.2439422607422, var: 643.1151123046875, global_min: -78.55844116210938
it: 6, min: -88.55844116210938, max: 200.0, mean: 147.07394409179688, var: 753.5226440429688, global_min: -88.55844116210938
it: 7, min: 115.14718627929688, max: 200.0, mean: 144.9696807861328, var: 607.0321044921875, global_min: -88.55844116210938
it: 8, min: 115.14718627929688, max: 200.0, mean: 143.35433959960938, var: 482.5355224609375, global_min: -88.55844116210938
it: 9, min: 53.14485549926758, max: 200.0, mean: 144.16665649414062, var: 499.8291320800781, global_min: -88.55844116210938
it: 10, min: 73.50404357910156, max: 200.0, mean: 144.1494140625, var: 462.6898193359375, global_min: -88.55844116210938
it: 11, min: 57.244956970214844, max: 200.0, mean: 143.10867309570312, var: 497.4582824707031, global_min: -88.55844116210938
it: 12, min: 67.50711822509766, max: 200.0, mean: 141.97117614746094, var: 472.60888671875, global_min: -88.55844116210938
it: 13, min: 57.244956970214844, max: 200.0, mean: 140.38002014160156, var: 499.4952697753906, global_min: -88.55844116210938
it: 14, min: 86.8629150390625, max: 200.0, mean: 137.26840209960938, var: 449.2117614746094, global_min: -88.55844116210938
it: 15, min: 109.45375061035156, max: 200.0, mean: 140.60952758789062, var: 500.71417236328125, global_min: -88.55844116210938
it: 16, min: 115.14718627929688, max: 200.0, mean: 139.8446044921875, var: 521.2037353515625, global_min: -88.55844116210938
it: 17, min: 73.50404357910156, max: 193.02992248535156, mean: 137.43304443359375, var: 488.2701416015625, global_min: -88.55844116210938
it: 18, min: 57.244956970214844, max: 200.0, mean: 137.2564239501953, var: 510.3107604980469, global_min: -88.55844116210938
